lead_id,date,channel,device
3012,2025-09-01,Emailing,Tablet
4252,2025-09-01,Organic,Desktop
2815,2025-09-01,Instagram Ads,Mobile
2428,2025-09-01,Emailing,Mobile
3727,2025-09-01,Organic,Desktop
4230,2025-09-01,Organic,Tablet
4826,2025-09-01,Google Ads,Desktop
5079,2025-09-01,Instagram Ads,Desktop
3318,2025-09-01,Emailing,Mobile
3003,2025-09-01,Instagram Ads,Mobile
4877,2025-09-01,LinkedIn,Tablet
2705,2025-09-01,Instagram Ads,Tablet
4512,2025-09-02,Instagram Ads,Tablet
2712,2025-09-02,Google Ads,Tablet
2002,2025-09-02,Emailing,Mobile
3418,2025-09-02,LinkedIn,Desktop
2733,2025-09-02,Emailing,Desktop
309,2025-09-02,Instagram Ads,Mobile
1527,2025-09-02,Facebook Ads,Desktop
922,2025-09-02,Instagram Ads,Mobile
2022,2025-09-02,Facebook Ads,Desktop
1269,2025-09-03,Emailing,Tablet
4604,2025-09-03,Facebook Ads,Tablet
2396,2025-09-03,LinkedIn,Desktop
5001,2025-09-03,Organic,Desktop
2395,2025-09-03,Organic,Mobile
3845,2025-09-03,Facebook Ads,Desktop
173,2025-09-03,Facebook Ads,Mobile
229,2025-09-03,Facebook Ads,Mobile
2862,2025-09-03,Google Ads,Mobile
4871,2025-09-03,Emailing,Mobile
1584,2025-09-03,Google Ads,Mobile
1616,2025-09-03,Emailing,Desktop
4013,2025-09-03,Emailing,Desktop
2919,2025-09-04,Emailing,Tablet
1384,2025-09-04,Organic,Desktop
4788,2025-09-04,LinkedIn,Desktop
3208,2025-09-04,Facebook Ads,Tablet
3199,2025-09-04,LinkedIn,Mobile
2629,2025-09-04,LinkedIn,Mobile
4857,2025-09-04,Instagram Ads,Tablet
508,2025-09-04,Google Ads,Mobile
306,2025-09-04,Facebook Ads,Tablet
3414,2025-09-04,Google Ads,Mobile
3372,2025-09-04,LinkedIn,Tablet
2450,2025-09-04,Facebook Ads,Desktop
3811,2025-09-04,Instagram Ads,Desktop
3883,2025-09-04,Google Ads,Mobile
1987,2025-09-04,Emailing,Mobile
2793,2025-09-04,Instagram Ads,Tablet
1853,2025-09-05,Google Ads,Mobile
2918,2025-09-05,Facebook Ads,Mobile
1844,2025-09-05,LinkedIn,Desktop
941,2025-09-05,Google Ads,Mobile
1046,2025-09-05,Google Ads,Mobile
4197,2025-09-05,Organic,Tablet
999,2025-09-05,Emailing,Desktop
2325,2025-09-05,Google Ads,Desktop
1365,2025-09-05,Organic,Tablet
4256,2025-09-05,Organic,Desktop
1900,2025-09-05,Organic,Tablet
3108,2025-09-05,Organic,Desktop
4913,2025-09-05,Google Ads,Mobile
3078,2025-09-05,Organic,Mobile
4065,2025-09-05,Facebook Ads,Desktop
2461,2025-09-05,Emailing,Tablet
571,2025-09-05,Organic,Desktop
2232,2025-09-05,Facebook Ads,Tablet
557,2025-09-05,Google Ads,Tablet
433,2025-09-06,Instagram Ads,Mobile
4156,2025-09-06,Google Ads,Desktop
345,2025-09-06,Google Ads,Mobile
2783,2025-09-06,Emailing,Tablet
3188,2025-09-06,Organic,Mobile
3167,2025-09-06,Facebook Ads,Desktop
4236,2025-09-06,Emailing,Desktop
3218,2025-09-06,Instagram Ads,Desktop
3520,2025-09-06,Google Ads,Desktop
4647,2025-09-06,Instagram Ads,Mobile
664,2025-09-06,Instagram Ads,Mobile
2634,2025-09-06,Google Ads,Tablet
1174,2025-09-07,Instagram Ads,Desktop
3790,2025-09-07,Organic,Mobile
